Date,Open,Range,Volume,Log_Volume,Return_Percentage,3_Day_Avg_AdjClose(Delay),PriorDay_AdjClose,Adj_Close
8/14/2023,404.86,34.89,69028600,7.84,7.09%,419.2322593,408.46,437.43
8/15/2023,445.6,15.58,67651200,7.83,0.43%,423.2280683,437.43,439.3
8/16/2023,445.2,12.69,52745100,7.72,-1.03%,428.4002687,439.3,434.77
8/17/2023,439.7,10.61,45239500,7.66,-0.33%,437.1683653,434.77,433.35
8/18/2023,426.35,19.18,58262200,7.77,-0.10%,435.805318,433.35,432.9
8/21/2023,444.94,28.43,69257300,7.84,8.47%,433.6691183,432.9,469.57
8/22/2023,481.35,28.54,75720700,7.88,-2.77%,445.2699383,469.57,456.58
8/23/2023,458.66,19.92,77904600,7.89,3.17%,453.014913,456.58,471.06
8/24/2023,502.16,31.07,115604400,8.06,0.10%,465.7354837,471.06,471.53
8/25/2023,470.12,27.81,92534100,7.97,-2.43%,466.3886717,471.53,460.08
8/28/2023,464.82,20.92,68519200,7.84,1.78%,467.5550943,460.08,468.25
8/29/2023,466.66,26.9,70139700,7.85,4.16%,466.618632,468.25,487.73
8/30/2023,490.44,15.02,73520600,7.87,0.98%,472.0207927,487.73,492.53
8/31/2023,493.8,7.86,52857000,7.72,0.19%,482.83845,492.53,493.44
9/1/2023,497.62,16.58,46319100,7.67,-1.71%,491.236613,493.44,484.98
9/5/2023,482.23,9.91,38265300,7.58,0.08%,490.32015,484.98,485.37
9/6/2023,484.41,19.69,46867000,7.67,-3.06%,487.934001,485.37,470.55
9/7/2023,455.25,11.92,43333000,7.64,-1.74%,480.3019207,470.55,462.35
9/8/2023,459.42,13.35,47306900,7.67,-1.45%,472.756256,462.35,455.66
9/11/2023,461.48,18.51,47396600,7.68,-0.87%,462.8509213,455.66,451.72
9/12/2023,447.38,11.42,34925600,7.54,-0.68%,456.5751037,451.72,448.64
9/13/2023,446,14.27,39835500,7.6,1.37%,452.005717,448.64,454.79
9/14/2023,459.5,8.56,37009700,7.57,0.21%,451.7157593,454.79,455.75
9/15/2023,453.41,17.91,50571300,7.7,-3.69%,453.058909,455.75,438.94
9/18/2023,427.48,22.42,50027100,7.7,0.15%,449.826009,438.94,439.6
9/19/2023,438.33,9.64,37306400,7.57,-1.01%,444.7633463,439.6,435.14
9/20/2023,436,16.8,36710800,7.56,-2.94%,437.894277,435.14,422.33
9/21/2023,415.83,11.2,44893000,7.65,-2.89%,432.358368,422.33,410.11
9/22/2023,415.72,8.84,47923600,7.68,1.45%,422.529704,410.11,416.04
9/25/2023,415.91,13.59,41909100,7.62,1.47%,416.1638897,416.04,422.16
9/26/2023,420.01,11.65,40228200,7.6,-0.74%,416.1072287,422.16,419.05
9/27/2023,423.3,12.43,44493500,7.65,1.33%,419.0868223,419.05,424.62
9/28/2023,424.6,13.31,42466300,7.63,1.46%,421.9464417,424.62,430.83
9/29/2023,438.27,8.37,39722100,7.6,0.95%,424.8360597,430.83,434.93
10/2/2023,440.3,13.14,43329800,7.64,2.95%,430.1286723,434.93,447.76
10/3/2023,448.08,18.84,47085000,7.67,-2.83%,437.840973,447.76,435.11
10/4/2023,437.42,8.51,36182100,7.56,1.20%,439.2674357,435.11,440.35
10/5/2023,440.5,10.12,39348300,7.59,1.47%,441.0738627,440.35,446.82
10/6/2023,441.93,17.63,43339700,7.64,2.40%,440.760569,446.82,457.56
10/9/2023,448.42,12.37,40967500,7.61,-1.07%,448.2428993,457.56,452.67
10/10/2023,453.1,11.71,36858200,7.57,1.16%,452.3490193,452.67,457.92
10/11/2023,461.96,8.09,37813700,7.58,2.20%,456.048523,457.92,468
10/12/2023,467.77,12.79,48132500,7.68,0.30%,459.528056,468,469.39
10/13/2023,469.6,18.36,47411500,7.68,-3.16%,465.100637,469.39,454.55
10/16/2023,450.63,13.13,37509900,7.57,1.40%,463.9774377,454.55,460.89
10/17/2023,440,22.74,81233300,7.91,-4.68%,461.6077577,460.89,439.32
10/18/2023,425.91,13.94,62729400,7.8,-3.97%,451.5857747,439.32,421.9
10/19/2023,428.11,14.15,50123300,7.7,-0.23%,440.703908,421.9,420.95
10/20/2023,418.9,13.92,47638100,7.68,-1.70%,427.3923643,420.95,413.81
10/23/2023,412.29,23.03,47853000,7.68,3.84%,418.8901773,413.81,429.69
10/24/2023,430.77,10.06,40146300,7.6,1.60%,421.486501,429.69,436.57
10/25/2023,433.98,20.95,39837900,7.6,-4.32%,426.692464,436.57,417.73
10/26/2023,418.53,23.76,54100100,7.73,-3.48%,427.998952,417.73,403.21
10/27/2023,411.3,11.91,41678400,7.62,0.43%,419.1701453,403.21,404.95
10/30/2023,410.87,12.85,38802800,7.59,1.63%,408.6282347,404.95,411.55
10/31/2023,404.5,16.49,51796900,7.71,-0.93%,406.5685017,411.55,407.74
11/1/2023,408.84,15.12,43759300,7.64,3.79%,408.0816243,407.74,423.19
11/2/2023,433.28,9.9,40917200,7.61,2.79%,414.1641337,423.19,435
11/3/2023,440.2,15.86,42385500,7.63,3.45%,421.9797567,435,449.99
11/6/2023,452.85,10.36,40073300,7.6,1.66%,436.0611877,449.99,457.45
11/7/2023,457.19,10.6,34316500,7.54,0.45%,447.479655,457.45,459.49
11/8/2023,461,8.99,34671900,7.54,1.35%,455.6418863,459.49,465.68
11/9/2023,474.67,14.8,54049600,7.73,0.81%,460.8711853,465.68,469.44
11/10/2023,475,11.89,42124500,7.62,2.95%,464.8672993,469.44,483.28
11/13/2023,483.2,10.17,38413600,7.58,0.59%,472.7995707,483.28,486.13
11/14/2023,496.8,7.94,41695400,7.62,2.13%,479.6186623,486.13,496.49
11/15/2023,499.35,17.6,47549700,7.68,-1.55%,488.637451,496.49,488.81
11/16/2023,486.79,11.95,33975600,7.53,1.21%,490.4805397,488.81,494.73
11/17/2023,495.24,7.1,32520500,7.51,-0.37%,493.346822,494.73,492.91
11/20/2023,493.12,13.67,41412000,7.62,2.25%,492.153656,492.91,504.02
11/21/2023,501.26,12.95,56574700,7.75,-0.92%,497.2229617,504.02,499.37
11/22/2023,498.52,26.45,89942000,7.95,-2.46%,498.7694093,499.37,487.09
11/24/2023,484.7,11.76,29464500,7.47,-1.93%,496.8296713,487.09,477.7
11/27/2023,478,8.78,39566200,7.6,0.98%,488.0541993,477.7,482.35
11/28/2023,482.36,8.5,40149100,7.6,-0.87%,482.3816427,482.35,478.15
11/29/2023,483.79,9.02,38200500,7.58,0.67%,479.398702,478.15,481.34
11/30/2023,480.24,16.88,52624700,7.72,-2.85%,480.611857,481.34,467.64
12/1/2023,465.25,10.13,36880900,7.57,-0.01%,475.7058513,467.64,467.59
12/4/2023,460.77,10.67,43754300,7.64,-2.68%,472.1863303,467.59,455.04
12/5/2023,454.66,13.29,37171800,7.57,2.33%,463.420858,455.04,465.64
12/6/2023,472.15,19.75,38059000,7.58,-2.28%,462.754588,465.64,455.01
12/7/2023,457,10.25,35082300,7.55,2.40%,458.5618287,455.01,465.94
12/8/2023,465.95,11.91,35880300,7.55,1.95%,462.194987,465.94,475.04
12/11/2023,474.91,17.01,50972800,7.71,-1.85%,465.328176,475.04,466.25
12/12/2023,460.46,16.2,37238700,7.57,2.21%,469.0746563,466.25,476.55
12/13/2023,476.29,9.86,44779200,7.65,0.90%,472.6111553,476.55,480.86
12/14/2023,483.9,12.48,39123200,7.59,0.55%,474.551066,480.86,483.48
12/15/2023,481.94,12.84,47947800,7.68,1.12%,480.2941383,483.48,488.88
12/18/2023,494,12.83,41258700,7.62,2.43%,484.4039507,488.88,500.75
12/19/2023,494.24,8.05,46444400,7.67,-0.95%,491.03363,500.75,496.02
12/20/2023,496.55,19.01,39789400,7.6,-3.01%,495.2134397,496.02,481.09
12/21/2023,488.11,6.76,30042500,7.48,1.83%,492.616882,481.09,489.88
12/22/2023,491.95,9.16,25213900,7.4,-0.33%,488.9937233,489.88,488.28
12/26/2023,489.68,6.4,24420000,7.39,0.92%,486.4138283,488.28,492.77
12/27/2023,495.11,5.95,23364800,7.37,0.28%,490.3069967,492.77,494.15
12/28/2023,496.43,4.72,24658700,7.39,0.21%,491.7302653,494.15,495.2
12/29/2023,498.13,12.46,38869000,7.59,0.00%,494.0368347,495.2,495.2
1/2/2024,492.44,17,41125400,7.61,-2.73%,494.8467913,495.2,481.66
1/3/2024,474.85,8.64,32089600,7.51,-1.24%,490.6836547,481.66,475.67
1/4/2024,477.67,9.92,30653500,7.49,0.90%,484.1739603,475.67,479.96
1/5/2024,484.62,12.41,41456800,7.62,2.29%,479.0941977,479.96,490.95
1/8/2024,495.12,27.96,64251000,7.81,6.43%,482.1907143,490.95,522.51
1/9/2024,524.01,26.35,77310000,7.89,1.70%,497.803314,522.51,531.38
1/10/2024,536.16,11.11,53379600,7.73,2.28%,514.942525,531.38,543.47
1/11/2024,549.99,17.86,59675900,7.78,0.87%,532.4517007,543.47,548.19
1/12/2024,546.2,6.4,35247900,7.55,-0.20%,541.014628,548.19,547.07
1/16/2024,550.18,19.35,44958000,7.65,3.06%,546.247701,547.07,563.79
1/17/2024,563.47,17.31,47439400,7.68,-0.58%,553.0207317,563.79,560.5
1/18/2024,572.6,14.93,49165000,7.69,1.88%,557.123881,560.5,571.04
1/19/2024,579.89,22.75,54210300,7.73,4.18%,565.113505,571.04,594.88
1/22/2024,600.49,12.61,45295500,7.66,0.27%,575.4763387,594.88,596.51
1/23/2024,595.7,13.25,29465400,7.47,0.37%,587.4791057,596.51,598.7
1/24/2024,603.04,29.11,56027100,7.75,2.49%,596.6986693,598.7,613.59
1/25/2024,623.5,18.69,48277700,7.68,0.42%,602.9350383,613.59,616.14
1/26/2024,609.6,12.1,39030900,7.59,-0.95%,609.4780477,616.14,610.28
1/29/2024,612.32,15.82,34873300,7.54,2.35%,613.3378703,610.28,624.62
1/30/2024,629,12.33,41073500,7.61,0.50%,617.014384,624.62,627.71
1/31/2024,614.4,15.69,45379500,7.66,-1.99%,620.8708903,627.71,615.24
2/1/2024,621,15.41,36914600,7.57,2.44%,622.5241497,615.24,630.24
2/2/2024,639.74,29.1,47578000,7.68,4.97%,624.3974,630.24,661.57
2/5/2024,682.25,22.92,68007800,7.83,4.79%,635.683533,661.57,693.29
2/6/2024,696.3,34.54,68311100,7.83,-1.60%,661.698975,693.29,682.2
2/7/2024,683.19,26.2,49557500,7.7,2.75%,679.018148,682.2,700.96
2/8/2024,700.74,13.39,41442200,7.62,-0.65%,692.147522,700.96,696.38
2/9/2024,705.33,19.73,43663700,7.64,3.58%,693.1774697,696.38,721.3
2/12/2024,726,33.61,61371000,7.79,0.16%,706.210205,721.3,722.45
2/13/2024,704,38.3,60258000,7.78,-0.17%,713.3732097,722.45,721.25
2/14/2024,732.02,22.98,50491700,7.7,2.46%,721.662842,721.25,738.97
2/15/2024,738.69,15.75,42012200,7.62,-1.68%,727.5525513,738.97,726.55
2/16/2024,741,19.01,49391800,7.69,-0.06%,728.919169,726.55,726.1
2/20/2024,719.47,42.22,70483300,7.85,-4.35%,730.535746,726.1,694.49
2/21/2024,680.06,26.4,69029800,7.84,-2.85%,715.7097777,694.49,674.69
2/22/2024,750.25,43.55,86510000,7.94,16.40%,698.423889,674.69,785.34
2/23/2024,807.9,48.24,82938800,7.92,0.36%,718.1729533,785.34,788.13
2/26/2024,797,21.41,50397300,7.7,0.35%,749.388143,788.13,790.88
2/27/2024,793.81,23.18,39170500,7.59,-0.49%,788.11967,790.88,786.97
2/28/2024,776.2,18.08,39311000,7.59,-1.32%,788.6629843,786.97,776.59
2/29/2024,790.94,16.4,50728900,7.71,1.87%,784.816508,776.59,791.08
3/1/2024,800,28.65,47677700,7.68,4.00%,784.8831787,791.08,822.75
3/4/2024,841.3,39.76,61561600,7.79,3.60%,796.8092857,822.75,852.33
3/5/2024,852.7,26.8,52063900,7.72,0.86%,822.054769,852.33,859.64
3/6/2024,880.22,26.94,58252000,7.77,3.18%,844.9071453,859.64,887
3/7/2024,901.58,31.65,60811900,7.78,4.48%,866.323344,887,926.69
